Date,search,pm10,pm25,COUNT_T,TMST,retail,Linearindex
20180401,0.07917,56.357,26.858,234.0,3710.9509999999996,0.9790000000000001,-1.1326983
20180402,0.07917,56.213,21.971999999999998,371.0,4988.442,1.122,-0.0074721025
20180403,0.07917,57.281000000000006,16.703,251.0,5330.048000000001,1.085,0.40753928
20180404,0.07917,18.387,8.759,352.0,5275.93,1.046,0.31746748
20180405,0.07917,13.181,7.805,293.0,5181.795999999999,1.05,0.28753296
20180406,0.07917,70.12,18.218,627.0,5069.069,1.041,-0.24580291
20180407,0.07917,39.079,18.347,207.0,4703.812,0.991,-0.1132418
20180408,0.056839999999999995,33.785,15.635,199.0,3595.798,1.278,-1.1272777
20180409,0.056839999999999995,40.78,26.061,407.0,4991.1759999999995,1.1079999999999999,0.15044324
20180410,0.056839999999999995,43.398,21.313000000000002,278.0,5378.275,1.2,0.61939543
20180411,0.056839999999999995,61.044,21.828000000000003,357.0,5347.222,1.058,0.4595322
20180412,0.056839999999999995,45.523999999999994,16.187,236.0,5429.93,1.075,0.663576
20180413,0.056839999999999995,33.589,15.394,223.0,5471.092,1.148,0.7498833
20180414,0.056839999999999995,28.124000000000002,15.603,95.0,4525.566,1.124,-0.067085184
20180416,0.07917,30.524,18.12,318.0,5072.92,1.0190000000000001,0.18068096
20180417,0.07917,48.17,25.568,350.0,5328.023,1.11,0.4120063
20180418,0.07917,57.221000000000004,29.365,436.0,5332.935,1.084,0.3362451
20180419,0.07917,61.121,30.798000000000002,361.0,5317.805,1.1059999999999999,0.39161125
20180420,0.07917,84.40700000000001,45.422,361.0,5372.585999999999,1.069,0.490271
20180421,0.07917,59.331,33.289,159.0,4766.554,1.175,0.051760104
20180422,0.046689999999999995,35.538000000000004,18.539,198.0,3631.594,1.222,-1.0237291
20180423,0.046689999999999995,15.875,11.31,179.0,4690.590999999999,1.036,0.07321618
20180424,0.046689999999999995,10.042,5.59,259.0,5191.53,1.062,0.4771997
20180425,0.046689999999999995,29.208000000000002,20.469,298.0,5513.955,1.141,0.8253182
20180426,0.046689999999999995,37.004,25.605999999999998,258.0,5416.838000000001,1.128,0.7814783
20180427,0.046689999999999995,45.43899999999999,31.105,165.0,5715.795,1.156,1.1907717
20180428,0.046689999999999995,50.79,31.464000000000002,159.0,5084.9490000000005,1.178,0.5424893
20180429,0.0609,52.92,29.865,196.0,3938.653,1.082,-0.7428229
20180430,0.0609,60.493,40.285,358.0,5203.22,1.088,0.44433057
20180501,0.0609,54.706,36.952,257.0,4478.61,1.197,-0.20208329
20180502,0.0609,51.052,38.109,226.0,5221.773,1.146,0.60224414
20180503,0.0609,31.651999999999997,16.477999999999998,210.0,5381.736999999999,1.2329999999999999,0.6673595
20180504,0.0609,46.137,19.627,171.0,5844.389,1.212,1.1524336
20180505,0.0609,48.626000000000005,22.108,70.0,4713.066,1.19,0.1139522
20180506,0.028419999999999997,20.404,12.647,38.0,3755.9,1.084,-0.6562683
20180507,0.028419999999999997,38.266,20.355,101.0,3920.83,0.992,-0.5446065
20180508,0.028419999999999997,25.941,11.95,265.0,5555.255,1.153,0.9275877
20180509,0.028419999999999997,28.451,10.959000000000001,209.0,5422.391,1.187,0.83028674
20180510,0.028419999999999997,44.15,23.694000000000003,244.0,5512.576,1.185,0.9406041
20180511,0.028419999999999997,61.565,39.778,192.0,5757.329000000001,1.2690000000000001,1.3123854
20180512,0.028419999999999997,43.577,28.388,56.0,4437.274,1.13,0.06990995
20180513,0.04263,29.79,20.878,130.0,4099.8820000000005,1.212,-0.42701495
20180514,0.04263,80.23,62.43,313.0,5225.193,1.176,0.71231085
20180515,0.04263,75.539,54.176,273.0,5484.465,1.208,0.96179956
20180516,0.04263,54.453,37.045,228.0,5122.395,1.156,0.5671988
20180517,0.04263,35.092,23.035,185.0,5339.441999999999,1.08,0.77755666
20180518,0.04263,24.814,8.654,107.0,5593.125,1.1540000000000001,1.0261782
20180519,0.04263,18.915,8.36,91.0,5154.378,1.217,0.6132948
20180520,0.04872,20.997,10.984000000000002,104.0,3881.454,1.105,-0.7043641
20180521,0.04872,32.291,17.034000000000002,148.0,5019.693,1.015,0.42013818
20180522,0.04872,57.426,32.330999999999996,94.0,3904.81,1.2770000000000001,-0.6160609
20180523,0.04872,66.768,18.430999999999997,318.0,5221.4259999999995,1.16,0.36205673
20180524,0.04872,117.667,29.21,377.0,5266.808000000001,1.114,0.27444625
20180525,0.04872,108.103,39.457,235.0,5204.723,1.2,0.46109253
20180526,0.04872,96.835,41.273999999999994,119.0,4912.038,1.245,0.32634985
20180527,0.04263,87.119,34.85,116.0,3732.048,1.212,-0.8587355
20180528,0.04263,68.92399999999999,32.827,177.0,4779.696,1.065,0.18759948
20180530,0.04263,66.128,39.075,269.0,5218.595,1.09,0.60424644
20180531,0.04263,59.578,33.650999999999996,204.0,5204.86,1.206,0.6297357
20180602,0.04263,57.13399999999999,31.74,68.0,4690.728,1.181,0.23090479
20180603,0.03451,49.768,30.973000000000003,70.0,3509.9709999999995,1.209,-0.9118588
20180604,0.03451,59.717,37.422,120.0,4694.4929999999995,1.102,0.26140893
20180605,0.03451,59.825,39.078,139.0,4824.092000000001,1.143,0.38769984
20180606,0.03451,60.872,40.994,68.0,3623.775,1.153,-0.7493345
20180607,0.03451,67.433,43.842,180.0,4966.885,1.1059999999999999,0.50725484
20180608,0.03451,52.983000000000004,33.856,117.0,5142.738,1.177,0.71166605
20180609,0.03451,68.515,41.83,52.0,4618.92,1.598,0.2570482
